message,subject,intent,issue
Very good,,Exchange / Replacement,Exchange / Replacement - Very good
Shopzilla app and it's all coustomer care services is very good service provided all time,,Missing,Missing - Shopzilla app and it's all coustomer care services is very good service provided all time
Very bad,,Delayed,Delayed - Very bad
Something,,Installation/demo,Installation/demo - Something 
All good,,Installation/demo,Installation/demo - All good
Good,,Return request,Return request - Good 
Godd job,,Payment related Queries,Payment related Queries - Godd job
Issue not resolved pathetic service,,Order status enquiry,Order status enquiry - Issue not resolved pathetic service
Excellent,,Fraudulent User,Fraudulent User - Excellent 
Very good,,Return cancellation,Return cancellation - Very good 
Give proper guidance to the customer,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Give proper guidance to the customer 
Please highlight if the products cannot be returned.,,Unable to track,Unable to track - Please highlight if the products cannot be returned.
3000 rupees loss,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - 3000 rupees loss 
Please don't sale any destroy product or cheep product more price.,,Installation/demo,Installation/demo - Please don't sale any destroy product or cheep product more price. 
I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,,Order status enquiry,Order status enquiry - I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was pol
No comments,,Installation/demo,Installation/demo - No comments 
good ????,,Reverse Pickup Enquiry,Reverse Pickup Enquiry -   good ????
customer service number plz available,,Wrong,Wrong - customer service number plz available
Good,,Return request,Return request - Good
Respectful,,Order status enquiry,Order status enquiry - Respectful 
Very nice good,,Product Specific Information,Product Specific Information - Very nice good
Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue,,Service Centres Related,Service Centres Related - Even the guarantee period also you have to contact the supplier to reduce the duration of resolve th
Thanks,,Fraudulent User,Fraudulent User - Thanks 
Try to deliver the product on time,,Delayed,Delayed - Try to deliver the product on time 
Nice conversation good I will give rating for ?????,,Wrong,Wrong - Nice conversation good I will give rating for ?????
Keep it up Shopzilla,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Keep it up Shopzilla 
I am so happy,,Missing,Missing - I am so happy 
Very bad agent,,Refund Related Issues,Refund Related Issues - Very bad agent
Ok,,Order status enquiry,Order status enquiry - Ok
Should take action fast..thank u,,Technician Visit,Technician Visit - Should take action fast..thank u
Good talk,,Return request,Return request - Good talk
